ot,lat,lon,dep,mag
2012-08-27T03:03:31.910437Z,32.8866,-115.5932,24,-2.19
2012-08-27T04:36:59.552579Z,32.8466,-115.5332,16,-3.68
2012-08-27T04:46:08.120873Z,33.3266,-115.5332,25,-2.65
2012-08-27T05:56:02.700992Z,32.9066,-115.5332,17,-3.51
2012-08-27T07:33:28.397983Z,32.7466,-115.4932,17,-3.52
2012-08-27T09:46:43.578141Z,32.9266,-115.6532,3,-3.88
2012-08-27T10:33:57.593333Z,32.8466,-115.5532,19,-3.97
2012-08-27T17:22:48.144524Z,32.9266,-115.5932,21,-2.94
2012-08-27T20:16:59.516134Z,32.9666,-115.9732,1,-3.84
2012-08-27T00:13:44.433492Z,32.9866,-115.6332,25,-2.61
2012-08-27T01:01:12.189252Z,32.8866,-115.5532,16,-3.73
2012-08-27T02:10:38.369014Z,33.3266,-115.3532,25,-3.59
2012-08-27T02:32:42.755238Z,32.6266,-115.3732,9,-3.18
2012-08-27T03:29:41.031191Z,32.9266,-115.5532,16,-3.02
2012-08-27T03:54:14.341633Z,32.9466,-115.5932,23,-3.93
2012-08-27T04:54:58.979365Z,33.0066,-115.5732,13,-3.82
2012-08-27T05:37:57.961349Z,32.9666,-115.5532,23,-3.43
2012-08-27T05:47:24.121214Z,32.9666,-115.5332,19,-3.31
2012-08-27T06:38:29.247189Z,32.8666,-115.5532,17,-4.35
2012-08-27T06:39:46.111475Z,32.8466,-115.5532,20,-4.06
2012-08-27T07:29:32.731928Z,32.8666,-115.5532,18,-3.70
2012-08-27T07:35:16.507937Z,32.9266,-115.5532,19,-4.09
2012-08-27T08:07:46.597857Z,32.8466,-115.5332,21,-3.83
2012-08-27T08:32:57.234841Z,33.0266,-115.6132,23,-3.46
2012-08-27T08:41:12.974173Z,32.8866,-115.5932,21,-3.88
2012-08-27T10:11:16.101032Z,32.9066,-115.5332,20,-3.70
2012-08-27T11:58:11.958175Z,32.8466,-115.5132,15,-3.68
2012-08-27T15:05:14.479729Z,32.7466,-115.5332,1,-3.62
2012-08-27T20:44:02.789252Z,32.9466,-115.5532,23,-3.05
2012-08-27T21:15:57.009887Z,32.9466,-115.4532,25,-3.44
2012-08-27T22:40:50.621792Z,32.9066,-115.6132,22,-2.91
2012-08-27T00:04:51.279047Z,32.8666,-115.5932,15,-3.54
2012-08-27T00:09:25.251451Z,32.9066,-115.5732,21,-4.11
2012-08-27T01:11:01.866849Z,32.7866,-115.5532,11,-3.67
2012-08-27T01:52:16.828475Z,33.0866,-115.3332,16,-3.45
2012-08-27T02:29:57.702064Z,32.6666,-115.2732,8,-3.01
2012-08-27T02:31:17.052523Z,32.9666,-115.5532,16,-4.03
2012-08-27T02:54:45.390635Z,32.8266,-115.5932,16,-3.34
2012-08-27T03:12:42.199570Z,32.8866,-115.5532,19,-3.48
2012-08-27T03:18:47.306610Z,32.8666,-115.5332,14,-3.47
2012-08-27T03:22:13.241054Z,32.9066,-115.7532,10,-4.12
2012-08-27T03:26:40.376554Z,32.9266,-115.5932,17,-4.27
2012-08-27T04:26:01.941389Z,32.7466,-115.5132,1,-3.48
2012-08-27T04:50:03.182109Z,32.9666,-115.5132,7,-2.69
2012-08-27T04:57:03.282722Z,32.9466,-115.5332,24,-2.97
2012-08-27T05:05:15.137659Z,32.9266,-115.4932,16,-3.63
2012-08-27T05:09:04.392642Z,32.9466,-115.5532,23,-1.96
2012-08-27T06:05:16.732778Z,32.9266,-115.6332,11,-3.96
2012-08-27T06:06:17.444127Z,32.9466,-115.5532,20,-3.38
2012-08-27T06:10:25.938016Z,32.6666,-115.4532,13,-3.68
2012-08-27T06:46:17.651055Z,32.9866,-115.5932,22,-3.86
2012-08-27T06:47:54.363968Z,33.1466,-115.4532,23,-3.28
2012-08-27T07:03:56.368396Z,32.8866,-115.5132,19,-4.11
